,date,state,fips,cases,deaths
498,11-03-2020,Connecticut,9,3,0
499,11-03-2020,Delaware,10,1,0
500,11-03-2020,District of Columbia,11,10,0
501,11-03-2020,Florida,12,26,2
502,11-03-2020,Georgia,13,31,0
503,11-03-2020,Hawaii,15,2,0
504,11-03-2020,Illinois,17,25,0
505,11-03-2020,Indiana,18,11,0
506,11-03-2020,Iowa,19,14,0
507,11-03-2020,Kansas,20,1,0
508,11-03-2020,Kentucky,21,7,0
509,11-03-2020,Louisiana,22,13,0
510,11-03-2020,Maryland,24,13,0
511,11-03-2020,Massachusetts,25,95,0
512,11-03-2020,Michigan,26,2,0
513,11-03-2020,Minnesota,27,5,0
514,11-03-2020,Mississippi,28,1,0
515,11-03-2020,Missouri,29,1,0
516,11-03-2020,Nebraska,31,23,0
517,11-03-2020,Nevada,32,7,0
518,11-03-2020,New Hampshire,33,5,0
519,11-03-2020,New Jersey,34,23,1
520,11-03-2020,New Mexico,35,4,0
521,11-03-2020,New York,36,217,0
522,11-03-2020,North Carolina,37,8,0
523,11-03-2020,North Dakota,38,1,0
524,11-03-2020,Ohio,39,4,0
525,11-03-2020,Oklahoma,40,2,0
526,11-03-2020,Oregon,41,20,0
527,11-03-2020,Pennsylvania,42,16,0
528,11-03-2020,Rhode Island,44,5,0
529,11-03-2020,South Carolina,45,10,0
530,11-03-2020,South Dakota,46,8,1
531,11-03-2020,Tennessee,47,8,0
532,11-03-2020,Texas,48,33,0
533,11-03-2020,Utah,49,5,0
534,11-03-2020,Vermont,50,2,0
535,11-03-2020,Virginia,51,10,0
536,11-03-2020,Washington,53,338,29
537,11-03-2020,Wisconsin,55,6,0
538,11-03-2020,Wyoming,56,1,0
539,12-03-2020,Alaska,2,1,0
540,12-03-2020,Arizona,4,9,0
541,12-03-2020,Arkansas,5,6,0
542,12-03-2020,California,6,252,4
543,12-03-2020,Colorado,8,49,1
544,12-03-2020,Connecticut,9,6,0
545,12-03-2020,Delaware,10,4,0
546,12-03-2020,District of Columbia,11,10,0
547,12-03-2020,Florida,12,46,2
548,12-03-2020,Georgia,13,31,1
549,12-03-2020,Hawaii,15,2,0
550,12-03-2020,Illinois,17,32,0
551,12-03-2020,Indiana,18,12,0
552,12-03-2020,Iowa,19,16,0
553,12-03-2020,Kansas,20,5,1
554,12-03-2020,Kentucky,21,11,0
555,12-03-2020,Louisiana,22,14,0
556,12-03-2020,Maine,23,1,0
557,12-03-2020,Maryland,24,13,0
558,12-03-2020,Massachusetts,25,108,0
559,12-03-2020,Michigan,26,12,0
560,12-03-2020,Minnesota,27,9,0
561,12-03-2020,Mississippi,28,1,0
562,12-03-2020,Missouri,29,2,0
563,12-03-2020,Nebraska,31,24,0
564,12-03-2020,Nevada,32,11,0
565,12-03-2020,New Hampshire,33,6,0
566,12-03-2020,New Jersey,34,29,1
567,12-03-2020,New Mexico,35,6,0
568,12-03-2020,New York,36,326,0
569,12-03-2020,North Carolina,37,16,0
570,12-03-2020,North Dakota,38,1,0
571,12-03-2020,Ohio,39,5,0
572,12-03-2020,Oklahoma,40,2,0
573,12-03-2020,Oregon,41,30,0
574,12-03-2020,Pennsylvania,42,22,0
575,12-03-2020,Rhode Island,44,5,0
576,12-03-2020,South Carolina,45,12,0
577,12-03-2020,South Dakota,46,8,1
578,12-03-2020,Tennessee,47,18,0
579,12-03-2020,Texas,48,41,0
580,12-03-2020,Utah,49,7,0
581,12-03-2020,Vermont,50,2,0
582,12-03-2020,Virginia,51,17,0
583,12-03-2020,Washington,53,419,32
584,12-03-2020,Wisconsin,55,8,0
585,12-03-2020,Wyoming,56,1,0
586,13-03-2020,Alabama,1,6,0
587,13-03-2020,Alaska,2,1,0
588,13-03-2020,Arizona,4,9,0
589,13-03-2020,Arkansas,5,7,0
590,13-03-2020,California,6,320,5
591,13-03-2020,Colorado,8,78,2
592,13-03-2020,Connecticut,9,11,0
593,13-03-2020,Delaware,10,4,0
594,13-03-2020,District of Columbia,11,10,0
595,13-03-2020,Florida,12,70,2
596,13-03-2020,Georgia,13,41,1
597,13-03-2020,Hawaii,15,2,0
598,13-03-2020,Idaho,16,1,0
599,13-03-2020,Illinois,17,46,0
600,13-03-2020,Indiana,18,12,0
601,13-03-2020,Iowa,19,17,0
602,13-03-2020,Kansas,20,6,1
603,13-03-2020,Kentucky,21,11,0
604,13-03-2020,Louisiana,22,36,0
605,13-03-2020,Maine,23,2,0
606,13-03-2020,Maryland,24,18,0
607,13-03-2020,Massachusetts,25,123,0
608,13-03-2020,Michigan,26,25,0
609,13-03-2020,Minnesota,27,14,0
610,13-03-2020,Mississippi,28,6,0
611,13-03-2020,Missouri,29,4,0
612,13-03-2020,Montana,30,4,0
613,13-03-2020,Nebraska,31,27,0
614,13-03-2020,Nevada,32,19,0
615,13-03-2020,New Hampshire,33,7,0
616,13-03-2020,New Jersey,34,50,1
617,13-03-2020,New Mexico,35,10,0
618,13-03-2020,New York,36,421,0
619,13-03-2020,North Carolina,37,18,0
620,13-03-2020,North Dakota,38,1,0
621,13-03-2020,Ohio,39,13,0
622,13-03-2020,Oklahoma,40,3,0
623,13-03-2020,Oregon,41,30,0
624,13-03-2020,Pennsylvania,42,41,0
625,13-03-2020,Puerto Rico,72,3,0
